Horas_Estudio,Asistencia,Involucración_Padres,Acceso_Recursos,Actividades_Extraescolares,Horas_Sueño,Puntuación_Anterior,Nivel_Motivación,Acceso_Internet,Tutorías,Ingreso_Familiar,Calidad_Profesorado,Tipo_Centro,Influencia_Compañeros,Actividad_Física,Problemas_Aprendizaje,Nivel_Educación_Padres,Distancia_Vivienda,Género,Puntuación,Niveles_Rendimiento,Niveles_Previos_Rto
13,78,Medio,Alto,Sí,9,96,Alto,Sí,2,Bajo,Medio,Público,Neutral,3,No,Universidad,Moderada,Hombre,67,2,5
25,98,Bajo,Alto,Sí,8,56,Medio,No,0,Medio,Alto,Privado,Neutral,3,No,Postgrado,Cercana,Hombre,71,2,1
28,66,Medio,Alto,Sí,8,97,Medio,Sí,0,Medio,Medio,Público,Neutral,2,No,Instituto,Cercana,Hombre,68,2,5
20,86,Medio,Medio,Sí,8,89,Medio,Sí,1,Bajo,Medio,Público,Negativa,3,No,Postgrado,Cercana,Hombre,69,2,4
26,75,Bajo,Alto,Sí,4,81,Alto,Sí,3,Medio,Alto,Privado,Positiva,2,No,Instituto,Moderada,Hombre,70,2,4
22,98,Medio,Alto,No,5,69,Bajo,No,1,Bajo,Alto,Público,Negativa,4,No,Instituto,Moderada,Mujer,69,2,2
16,73,Medio,Medio,No,7,95,Medio,Sí,1,Bajo,Medio,Público,Negativa,4,No,Universidad,Cercana,Hombre,65,2,5
22,98,Medio,Bajo,Sí,7,52,Medio,No,3,Medio,Medio,Público,Positiva,3,No,Universidad,Cercana,Mujer,70,2,1
29,96,Medio,Bajo,Sí,7,72,Medio,Sí,1,Bajo,Medio,Público,Positiva,3,No,Instituto,Moderada,Hombre,71,2,3
20,71,Medio,Medio,Sí,7,88,Medio,Sí,1,Bajo,Bajo,Público,Neutral,4,No,Universidad,Cercana,Mujer,65,2,4
29,92,Bajo,Medio,No,4,91,Medio,Sí,2,Medio,Medio,Público,Negativa,1,No,Postgrado,Cercana,Mujer,72,2,5
4,100,Alto,Alto,Sí,8,60,Alto,Sí,0,Medio,Alto,Privado,Positiva,4,No,Universidad,Moderada,Hombre,69,2,1
25,70,Medio,Medio,No,7,52,Medio,Sí,1,Medio,Medio,Público,Positiva,3,No,Postgrado,Cercana,Mujer,66,2,1
21,77,Bajo,Medio,Sí,7,90,Medio,Sí,4,Medio,Medio,Privado,Neutral,3,No,Postgrado,Moderada,Hombre,68,2,5
18,81,Alto,Bajo,Sí,8,71,Medio,Sí,0,Medio,Medio,Público,Neutral,3,No,Instituto,Moderada,Mujer,65,2,3
21,72,Medio,Medio,Sí,5,57,Medio,Sí,1,Alto,Medio,Público,Neutral,5,Sí,Universidad,Moderada,Hombre,64,1,1
8,61,Medio,Medio,Sí,7,54,Medio,Sí,1,Alto,Medio,Público,Positiva,3,No,Universidad,Cercana,Hombre,60,1,1
19,69,Medio,Alto,Sí,7,82,Alto,Sí,1,Bajo,Medio,Público,Negativa,2,No,Instituto,Cercana,Hombre,65,2,4
22,71,Alto,Medio,No,6,79,Alto,Sí,1,Bajo,Bajo,Público,Positiva,3,No,Instituto,Cercana,Hombre,66,2,3
29,78,Alto,Alto,Sí,4,93,Bajo,Sí,5,Medio,Alto,Público,Neutral,3,No,Universidad,Cercana,Hombre,74,3,5
17,67,Medio,Medio,Sí,5,52,Alto,Sí,2,Medio,Medio,Privado,Negativa,3,No,Instituto,Lejana,Mujer,62,1,1
15,95,Medio,Medio,No,7,93,Medio,Sí,2,Bajo,Medio,Público,Positiva,4,No,Universidad,Moderada,Hombre,70,2,5
17,88,Medio,Alto,Sí,7,94,Bajo,Sí,0,Medio,Medio,Público,Neutral,3,No,Instituto,Cercana,Hombre,69,2,5
25,63,Medio,Alto,Sí,7,72,Medio,Sí,3,Medio,Alto,Privado,Negativa,4,No,Universidad,Lejana,Hombre,67,2,3
22,86,Bajo,Bajo,No,6,54,Medio,Sí,2,Medio,Medio,Público,Neutral,0,No,Instituto,Moderada,Hombre,64,1,1
17,86,Medio,Alto,No,5,97,Alto,Sí,3,Alto,Medio,Público,Neutral,3,No,Universidad,Cercana,Hombre,71,2,5
23,98,Medio,Bajo,Sí,7,54,Bajo,Sí,0,Medio,Medio,Público,Negativa,3,No,Universidad,Cercana,Mujer,68,2,1
21,60,Alto,Medio,No,7,80,Medio,Sí,0,Medio,Alto,Público,Neutral,4,Sí,Universidad,Cercana,Hombre,64,1,4
26,70,Medio,Bajo,Sí,8,75,Medio,Sí,1,Medio,Bajo,Privado,Neutral,4,Sí,Instituto,Lejana,Mujer,63,1,3
16,97,Medio,Medio,Sí,6,92,Bajo,Sí,0,Alto,Medio,Privado,Positiva,4,No,Universidad,Cercana,Hombre,71,2,5
18,97,Alto,Medio,Sí,4,75,Bajo,Sí,0,Bajo,Medio,Público,Positiva,3,No,Instituto,Moderada,Hombre,69,2,3
18,89,Alto,Medio,Sí,4,73,Medio,Sí,3,Alto,Medio,Privado,Positiva,2,No,Universidad,Cercana,Mujer,100,5,3
11,91,Medio,Medio,No,6,94,Medio,Sí,3,Medio,Medio,Público,Neutral,3,No,Universidad,Moderada,Hombre,68,2,5
22,64,Bajo,Medio,No,7,98,Bajo,No,1,Medio,Medio,Público,Negativa,3,No,Instituto,Cercana,Hombre,62,1,5
22,81,Medio,Medio,Sí,7,77,Bajo,Sí,2,Medio,Medio,Público,Positiva,3,No,Postgrado,Lejana,Mujer,68,2,3
20,69,Alto,Alto,Sí,6,73,Medio,Sí,2,Bajo,Medio,Privado,Positiva,3,No,Instituto,Lejana,Hombre,66,2,3
19,67,Bajo,Medio,No,5,92,Alto,Sí,0,Medio,Medio,Público,Positiva,3,No,Universidad,Cercana,Hombre,64,1,5
12,92,Medio,Medio,No,4,92,Alto,Sí,2,Medio,Alto,Público,Neutral,3,Sí,Instituto,Moderada,Hombre,67,2,5
17,65,Medio,Alto,Sí,8,66,Medio,Sí,1,Alto,Alto,Público,Neutral,4,Sí,Postgrado,Moderada,Mujer,65,2,2
18,79,Medio,Medio,Sí,7,79,Medio,Sí,0,Bajo,Alto,Privado,Neutral,3,No,Universidad,Lejana,Hombre,65,2,3
15,98,Alto,Medio,No,6,58,Alto,Sí,0,Bajo,Alto,Público,Positiva,3,No,Universidad,Cercana,Hombre,69,2,1
19,67,Medio,Medio,No,5,82,Alto,Sí,1,Bajo,Bajo,Privado,Negativa,3,No,Instituto,Cercana,Hombre,63,1,4
22,99,Medio,Bajo,Sí,6,92,Bajo,Sí,3,Medio,Medio,Público,Negativa,4,No,Postgrado,Moderada,Hombre,72,2,5
31,100,Medio,Medio,No,7,59,Medio,Sí,2,Alto,Alto,Público,Positiva,5,No,Postgrado,Moderada,Hombre,76,3,1
21,82,Medio,Alto,Sí,7,66,Alto,Sí,3,Bajo,Medio,Público,Positiva,3,Sí,Universidad,Cercana,Mujer,69,2,2
22,67,Medio,Medio,Sí,7,72,Alto,Sí,3,Bajo,Alto,Público,Positiva,2,No,Postgrado,Moderada,Mujer,67,2,3
20,73,Alto,Medio,Sí,9,92,Medio,Sí,2,Medio,Alto,Público,Positiva,3,No,Universidad,Cercana,Hombre,69,2,5
8,77,Alto,Medio,Sí,6,87,Medio,Sí,0,Bajo,Medio,Público,Neutral,2,No,Instituto,Moderada,Hombre,63,1,4
20,72,Medio,Medio,No,9,66,Medio,Sí,3,Bajo,Alto,Privado,Positiva,3,No,Postgrado,Cercana,Hombre,67,2,2
20,71,Bajo,Alto,Sí,7,62,Alto,Sí,2,Medio,Medio,Público,Negativa,5,No,Universidad,Cercana,Hombre,66,2,2
35,99,Alto,Alto,Sí,7,85,Bajo,Sí,2,Medio,Alto,Privado,Neutral,2,No,Postgrado,Cercana,Mujer,79,3,4
19,66,Medio,Medio,No,8,74,Medio,Sí,1,Alto,Medio,Público,Neutral,3,No,Instituto,Cercana,Mujer,64,1,3
22,89,Alto,Alto,Sí,6,80,Medio,Sí,1,Alto,Alto,Público,Positiva,3,No,Instituto,Cercana,Mujer,73,2,4
20,60,Bajo,Alto,No,7,82,Alto,Sí,2,Bajo,Alto,Público,Positiva,4,Sí,Instituto,Cercana,Hombre,63,1,4
13,84,Medio,Medio,No,5,78,Medio,Sí,1,Bajo,Alto,Público,Positiva,2,No,Instituto,Cercana,Hombre,65,2,3
27,97,Bajo,Alto,Sí,8,81,Medio,Sí,0,Alto,Medio,Público,Positiva,5,No,Instituto,Cercana,Mujer,73,2,4
25,72,Alto,Alto,Sí,8,94,Bajo,Sí,2,Bajo,Medio,Privado,Positiva,4,No,Universidad,Moderada,Mujer,70,2,5
25,67,Alto,Medio,No,9,93,Alto,Sí,2,Bajo,Alto,Público,Positiva,3,Sí,Instituto,Cercana,Mujer,68,2,5
15,86,Medio,Medio,Sí,7,57,Medio,Sí,1,Medio,Medio,Público,Negativa,3,No,Universidad,Cercana,Hombre,65,2,1
28,89,Bajo,Alto,Sí,9,79,Alto,Sí,0,Bajo,Medio,Privado,Positiva,1,No,Universidad,Moderada,Mujer,71,2,3
12,88,Bajo,Medio,No,6,72,Bajo,Sí,2,Medio,Medio,Público,Positiva,2,No,Universidad,Lejana,Hombre,64,1,3
24,73,Medio,Alto,Sí,8,64,Medio,Sí,4,Alto,Medio,Privado,Neutral,3,Sí,Universidad,Moderada,Hombre,68,2,2
33,70,Medio,Medio,Sí,6,82,Bajo,Sí,1,Bajo,Alto,Público,Neutral,4,No,Universidad,Cercana,Hombre,69,2,4
14,98,Medio,Medio,No,7,76,Medio,Sí,0,Medio,Alto,Privado,Positiva,4,No,Universidad,Moderada,Mujer,69,2,3
17,97,Medio,Medio,No,8,89,Medio,Sí,1,Bajo,Medio,Público,Neutral,4,No,Instituto,Lejana,Hombre,69,2,4
21,78,Medio,Medio,Sí,10,55,Medio,Sí,1,Alto,Bajo,Privado,Positiva,2,No,Universidad,Cercana,Hombre,67,2,1
17,94,Bajo,Medio,Sí,8,65,Bajo,Sí,4,Medio,Medio,Público,Neutral,6,No,Instituto,Lejana,Mujer,68,2,2
11,78,Medio,Alto,Sí,8,51,Medio,Sí,2,Bajo,Medio,Público,Neutral,3,No,Postgrado,Cercana,Hombre,64,1,1
20,77,Medio,Medio,No,6,87,Bajo,Sí,0,Bajo,Alto,Público,Positiva,4,No,Instituto,Cercana,Mujer,66,2,4
14,66,Alto,Bajo,No,7,96,Medio,Sí,3,Bajo,Alto,Público,Negativa,3,No,Instituto,Cercana,Hombre,63,1,5
23,77,Medio,Medio,Sí,7,79,Medio,Sí,0,Bajo,Alto,Público,Neutral,2,No,Instituto,Moderada,Hombre,66,2,3
14,81,Medio,Medio,No,9,81,Medio,Sí,1,Bajo,Alto,Privado,Negativa,3,No,Postgrado,Cercana,Mujer,66,2,4
29,61,Medio,Alto,Sí,7,52,Bajo,Sí,3,Bajo,Medio,Privado,Positiva,3,No,Universidad,Cercana,Mujer,67,2,1
15,78,Alto,Alto,No,9,75,Bajo,Sí,1,Bajo,Medio,Público,Negativa,1,No,Instituto,Cercana,Hombre,65,2,3
18,91,Bajo,Medio,Sí,5,76,Medio,Sí,1,Medio,Medio,Público,Neutral,3,No,Instituto,Cercana,Mujer,68,2,3
25,87,Medio,Bajo,No,9,52,Alto,Sí,1,Bajo,Alto,Privado,Positiva,2,No,Instituto,Cercana,Hombre,68,2,1
13,85,Alto,Medio,No,6,89,Medio,Sí,0,Alto,Medio,Privado,Neutral,1,Sí,Instituto,Cercana,Hombre,65,2,4
21,96,Medio,Medio,No,8,64,Alto,Sí,2,Medio,Alto,Público,Neutral,0,No,Universidad,Cercana,Hombre,71,2,2
28,61,Medio,Alto,No,6,86,Alto,Sí,1,Bajo,Medio,Privado,Negativa,3,Sí,Postgrado,Lejana,Hombre,65,2,4
10,82,Medio,Bajo,No,8,70,Medio,Sí,3,Bajo,Alto,Público,Positiva,1,Sí,Postgrado,Cercana,Mujer,64,1,2
21,91,Alto,Medio,No,6,100,Medio,Sí,0,Alto,Medio,Privado,Neutral,2,No,Postgrado,Cercana,Mujer,72,2,5
22,82,Medio,Medio,No,9,61,Medio,Sí,2,Bajo,Medio,Público,Negativa,2,Sí,Instituto,Cercana,Mujer,65,2,2
25,73,Medio,Alto,No,8,53,Alto,No,0,Bajo,Alto,Privado,Negativa,5,No,Postgrado,Cercana,Mujer,66,2,1
13,65,Bajo,Alto,No,6,99,Medio,Sí,0,Bajo,Medio,Privado,Negativa,4,No,Instituto,Cercana,Hombre,61,1,5
12,96,Bajo,Alto,Sí,8,62,Medio,Sí,2,Medio,Alto,Público,Negativa,3,No,Universidad,Cercana,Mujer,68,2,2
23,79,Alto,Alto,Sí,8,82,Bajo,Sí,3,Medio,Medio,Público,Negativa,3,Sí,Postgrado,Moderada,Mujer,69,2,4
22,95,Medio,Alto,Sí,6,69,Medio,Sí,1,Bajo,Medio,Público,Positiva,3,No,Universidad,Cercana,Mujer,72,2,2
22,83,Medio,Alto,Sí,5,82,Medio,Sí,2,Bajo,Alto,Público,Positiva,3,No,Postgrado,Cercana,Mujer,71,2,4
22,87,Alto,Alto,No,5,80,Bajo,Sí,2,Bajo,Alto,Público,Negativa,3,No,Instituto,Cercana,Mujer,70,2,4
16,92,Medio,Alto,Sí,5,85,Bajo,Sí,1,Bajo,Medio,Público,Neutral,2,No,Instituto,Moderada,Hombre,68,2,4
21,86,Bajo,Medio,Sí,5,51,Medio,Sí,2,Bajo,Alto,Público,Positiva,2,No,Instituto,Moderada,Mujer,67,2,1
22,76,Medio,Medio,Sí,8,92,Medio,Sí,1,Bajo,Alto,Público,Neutral,4,No,Instituto,Cercana,Mujer,68,2,5
16,81,Medio,Medio,Sí,8,74,Medio,Sí,3,Medio,Medio,Público,Positiva,2,No,Postgrado,Cercana,Mujer,68,2,3
31,92,Medio,Medio,Sí,4,76,Medio,Sí,2,Medio,Alto,Público,Positiva,4,Sí,Instituto,Lejana,Hombre,72,2,3
23,75,Bajo,Alto,No,6,71,Bajo,Sí,0,Medio,Medio,Público,Neutral,2,No,Universidad,Cercana,Hombre,65,2,3
13,76,Medio,Alto,No,5,99,Bajo,Sí,2,Medio,Medio,Privado,Positiva,4,No,Instituto,Cercana,Mujer,66,2,5
24,64,Medio,Medio,Sí,8,90,Alto,Sí,0,Bajo,Alto,Público,Negativa,3,No,Instituto,Cercana,Hombre,65,2,5
14,97,Medio,Medio,Sí,6,66,Medio,Sí,2,Medio,Medio,Público,Negativa,3,Sí,Universidad,Cercana,Mujer,67,2,2
25,64,Medio,Alto,No,5,89,Bajo,Sí,2,Medio,Medio,Público,Neutral,4,No,Universidad,Lejana,Hombre,66,2,4
27,86,Medio,Medio,No,7,72,Bajo,Sí,1,Medio,Alto,Público,Positiva,4,No,Instituto,Lejana,Hombre,69,2,3
15,77,Medio,Medio,Sí,8,94,Bajo,Sí,0,Alto,Alto,Público,Positiva,3,No,Universidad,Moderada,Hombre,66,2,5
26,76,Medio,Alto,Sí,6,52,Medio,Sí,4,Alto,Bajo,Público,Neutral,3,No,Instituto,Cercana,Hombre,69,2,1
22,87,Alto,Bajo,Sí,7,68,Medio,No,0,Bajo,Medio,Público,Neutral,2,No,Instituto,Cercana,Hombre,67,2,2
25,63,Alto,Medio,Sí,6,71,Medio,Sí,1,Medio,Bajo,Privado,Positiva,3,No,Instituto,Cercana,Hombre,66,2,3
31,84,Medio,Medio,Sí,9,87,Medio,Sí,2,Bajo,Medio,Privado,Neutral,3,No,Universidad,Lejana,Hombre,71,2,4
19,91,Alto,Bajo,No,6,59,Medio,Sí,5,Medio,Alto,Público,Neutral,4,No,Universidad,Moderada,Hombre,70,2,1
15,93,Alto,Medio,No,6,64,Medio,Sí,2,Medio,Alto,Público,Positiva,4,No,Postgrado,Cercana,Hombre,71,2,2
15,67,Medio,Medio,Sí,7,86,Alto,Sí,1,Alto,Medio,Privado,Positiva,3,No,Postgrado,Cercana,Hombre,66,2,4
15,96,Medio,Medio,No,7,54,Alto,No,3,Medio,Alto,Público,Negativa,2,No,Instituto,Cercana,Hombre,67,2,1
20,86,Alto,Bajo,No,8,60,Medio,Sí,1,Medio,Medio,Público,Neutral,4,Sí,Universidad,Lejana,Mujer,66,2,1
22,95,Medio,Alto,No,9,88,Bajo,Sí,0,Bajo,Alto,Público,Positiva,2,No,Postgrado,Cercana,Hombre,72,2,4
22,79,Medio,Medio,No,9,94,Medio,Sí,1,Medio,Medio,Público,Positiva,3,No,Instituto,Cercana,Hombre,68,2,5
25,82,Medio,Medio,No,6,86,Medio,No,3,Bajo,Alto,Público,Positiva,3,No,Instituto,Cercana,Mujer,69,2,4
20,97,Medio,Medio,Sí,7,76,Bajo,Sí,2,Bajo,Bajo,Privado,Positiva,3,No,Postgrado,Cercana,Hombre,71,2,3
29,96,Medio,Medio,Sí,9,55,Bajo,No,0,Medio,Medio,Público,Neutral,2,No,Postgrado,Lejana,Mujer,70,2,1
18,78,Medio,Medio,No,9,91,Alto,Sí,2,Alto,Bajo,Público,Neutral,4,No,Universidad,Lejana,Mujer,67,2,5
36,71,Medio,Medio,Sí,6,56,Medio,Sí,2,Alto,Medio,Público,Positiva,2,No,Instituto,Lejana,Hombre,69,2,1
24,76,Bajo,Alto,No,8,69,Bajo,Sí,2,Medio,Medio,Público,Neutral,1,No,Instituto,Moderada,Hombre,65,2,2
15,76,Alto,Alto,No,8,53,Medio,Sí,1,Bajo,Medio,Público,Neutral,4,No,Universidad,Cercana,Hombre,65,2,1
14,71,Medio,Medio,Sí,8,85,Bajo,Sí,2,Medio,Alto,Público,Neutral,4,No,Instituto,Cercana,Hombre,64,1,4
23,71,Bajo,Bajo,Sí,9,75,Bajo,Sí,1,Bajo,Medio,Público,Negativa,2,No,Universidad,Cercana,Hombre,63,1,3
19,94,Bajo,Medio,Sí,5,95,Medio,Sí,3,Bajo,Bajo,Público,Positiva,2,No,Instituto,Moderada,Hombre,69,2,5
24,63,Medio,Bajo,Sí,6,57,Medio,Sí,1,Bajo,Alto,Privado,Neutral,5,No,Universidad,Cercana,Mujer,64,1,1
23,87,Alto,Alto,Sí,8,91,Alto,Sí,0,Alto,Medio,Privado,Positiva,3,No,Instituto,Moderada,Hombre,72,2,5
20,67,Bajo,Medio,Sí,7,76,Medio,Sí,0,Medio,Medio,Público,Neutral,4,No,Instituto,Cercana,Hombre,63,1,3
