id,Education_Level,Age_Group,Gender,Race,Offense_Type,Criminal_History_Category,Sentence_Length_months,Probation,Below_Guideline,Trial
38,Undergraduate Degree,55+,M,Other,Tax,I,50,0,1,0
39,Undergraduate Degree,45-54,M,Other,Drug Trafficking,I,30,0,1,0
40,High School,35-44,M,Black,Firearms,I,57,0,1,0
41,High School,≤34,M,Other,Immigration,VI,55,0,0,0
42,High School,35-44,M,Other,Immigration,VI,59,0,0,0
43,Less than HS,≤34,M,Black,Drug Trafficking,I,51,1,0,0
44,High School,35-44,M,Other,Fraud,VI,80,0,0,0
45,Less than HS,45-54,M,White,Fraud,III,69,0,1,0
46,Some College,55+,M,Black,Immigration,I,47,0,0,0
47,High School,35-44,M,Other,Drug Trafficking,I,57,0,1,0
48,Undergraduate Degree,45-54,M,White,Sexual Abuse,I,40,0,0,0
49,Some College,45-54,M,White,Child Pornography,V,60,0,0,1
50,Undergraduate Degree,≤34,M,Other,Money Laundering,V,37,0,1,0
51,High School,≤34,M,Hispanic,Fraud,IV,66,0,1,0
52,High School,35-44,M,Other,Immigration,I,82,0,1,0
53,Less than HS,≤34,M,Black,Fraud,VI,53,0,0,0
54,Undergraduate Degree,45-54,F,Hispanic,Fraud,I,53,0,0,0
55,Some College,≤34,M,Hispanic,Drug Trafficking,III,55,0,0,0
56,Some College,35-44,M,White,Immigration,I,78,0,0,0
57,Less than HS,35-44,M,Black,Firearms,IV,72,0,1,0
58,High School,55+,M,Hispanic,Fraud,III,69,0,0,0
59,Undergraduate Degree,35-44,M,Black,Child Pornography,I,49,0,0,0
60,High School,≤34,M,Other,Firearms,III,93,0,1,0
61,High School,35-44,M,Hispanic,Fraud,I,73,0,1,0
62,High School,≤34,M,White,Firearms,I,53,0,1,0
63,Less than HS,≤34,M,Black,Firearms,I,36,0,1,0
64,High School,45-54,M,White,Drug Trafficking,I,50,0,0,0
65,Less than HS,≤34,M,Hispanic,Firearms,IV,67,0,1,0
66,Less than HS,≤34,M,Black,Drug Trafficking,V,40,1,1,0
67,High School,55+,M,White,Immigration,III,67,0,1,0
68,Some College,≤34,M,Black,Drug Trafficking,I,72,0,0,0
69,High School,35-44,M,White,Drug Trafficking,I,61,0,1,0
70,Less than HS,45-54,F,Black,Fraud,III,45,0,0,1
71,Undergraduate Degree,35-44,F,Hispanic,Money Laundering,IV,18,0,1,0
72,High School,≤34,M,Other,Fraud,VI,76,0,0,0
73,High School,35-44,M,Black,Drug Trafficking,I,58,0,0,0
74,High School,45-54,M,Hispanic,Drug Trafficking,V,79,0,1,0
75,Undergraduate Degree,55+,M,White,Money Laundering,I,52,0,0,0
76,Less than HS,≤34,M,Hispanic,Drug Trafficking,II,62,0,1,0
77,Undergraduate Degree,≤34,M,Hispanic,Fraud,I,40,0,0,0
78,Less than HS,45-54,M,Black,Robbery,VI,67,0,0,0
79,Graduate Degree,55+,M,Hispanic,Fraud,I,64,0,1,0
80,Less than HS,35-44,F,Black,Fraud,VI,61,0,0,0
81,High School,45-54,M,Black,Fraud,V,41,0,0,0
82,High School,35-44,F,White,Fraud,IV,90,0,1,0
83,Undergraduate Degree,55+,M,White,Tax,I,34,0,0,0
84,High School,45-54,M,White,Fraud,I,60,0,0,1
85,High School,45-54,M,Black,Fraud,III,80,0,1,0
86,Less than HS,≤34,F,White,Drug Trafficking,IV,54,0,1,0
87,Less than HS,55+,F,Black,Robbery,II,39,0,1,0
88,High School,35-44,M,White,Drug Trafficking,IV,51,1,0,0
89,High School,55+,M,Black,Firearms,V,72,0,1,0
90,High School,55+,M,Hispanic,Immigration,VI,64,0,1,0
91,Less than HS,≤34,M,Black,Fraud,I,36,0,1,0
92,Some College,45-54,M,Other,Immigration,I,60,0,1,0
93,High School,≤34,M,Hispanic,Immigration,I,42,0,0,0
94,Less than HS,≤34,M,Black,Fraud,II,81,0,1,0
95,Some College,55+,F,Black,Firearms,II,84,0,0,0
96,Less than HS,35-44,M,White,Fraud,I,13,0,1,0
97,Less than HS,≤34,M,Black,Drug Trafficking,V,58,0,0,0
98,Undergraduate Degree,35-44,M,Black,Drug Trafficking,I,58,0,0,0
99,Less than HS,35-44,F,Hispanic,Immigration,II,66,0,1,0
100,Less than HS,≤34,M,Black,Immigration,IV,77,0,0,0
101,High School,35-44,F,White,Immigration,II,79,0,1,0
102,Less than HS,55+,F,White,Fraud,I,79,0,1,0
103,High School,45-54,F,Other,Immigration,VI,80,0,0,0
104,High School,45-54,M,White,Firearms,I,81,0,0,0
105,High School,35-44,M,Hispanic,Drug Trafficking,IV,67,0,0,0
106,Some College,≤34,M,Other,Firearms,VI,60,0,0,0
107,Some College,55+,M,Other,Drug Trafficking,II,52,0,0,0
108,High School,35-44,F,Hispanic,Drug Trafficking,IV,93,1,1,0
109,Less than HS,≤34,M,Hispanic,Robbery,III,51,0,0,1
110,High School,55+,M,Other,Firearms,I,58,1,1,0
111,High School,≤34,M,Other,Immigration,VI,82,0,1,0
112,Less than HS,55+,M,Hispanic,Fraud,III,51,1,1,0
113,Undergraduate Degree,55+,M,White,Money Laundering,II,81,0,1,0
114,High School,≤34,F,Other,Fraud,I,75,0,1,0
115,High School,35-44,M,Other,Fraud,I,58,0,1,0
116,Undergraduate Degree,45-54,F,Other,Tax,I,43,0,0,0
117,Less than HS,≤34,M,White,Drug Trafficking,I,55,0,0,0
118,High School,≤34,M,Black,Immigration,V,83,0,0,0
119,Some College,≤34,M,Other,Firearms,VI,44,0,1,0
120,Some College,≤34,M,Black,Immigration,II,37,0,1,0
121,Less than HS,35-44,F,Black,Firearms,III,73,0,1,0
122,High School,35-44,M,Other,Drug Trafficking,II,46,0,1,0
123,Less than HS,45-54,M,Other,Robbery,V,78,0,1,0
124,Graduate Degree,45-54,M,White,Child Pornography,I,41,1,1,0
125,High School,45-54,M,Black,Immigration,I,74,0,0,0
126,High School,45-54,M,Other,Firearms,I,71,0,1,0
127,High School,45-54,M,Hispanic,Immigration,I,65,0,1,0
128,High School,55+,M,Hispanic,Immigration,II,50,1,0,0
129,Less than HS,≤34,M,White,Fraud,I,45,0,1,0
130,High School,35-44,M,Black,Immigration,II,82,0,0,0
131,High School,55+,F,Other,Drug Trafficking,V,75,1,1,0
132,Less than HS,≤34,F,White,Firearms,III,81,0,0,0
133,Less than HS,≤34,M,Hispanic,Drug Trafficking,II,65,0,0,0
134,Some College,45-54,M,Other,Child Pornography,III,55,0,1,0
135,High School,35-44,F,Hispanic,Immigration,I,63,0,1,0
136,Some College,45-54,F,Other,Fraud,I,56,0,1,0
137,High School,55+,M,Hispanic,Drug Trafficking,I,84,0,0,0
138,High School,55+,M,Other,Immigration,IV,66,0,1,0
139,High School,35-44,M,Other,Firearms,IV,80,0,0,0
140,Some College,45-54,M,Other,Fraud,I,52,0,1,0
141,High School,35-44,F,White,Fraud,II,57,0,1,0
142,Some College,≤34,M,Other,Child Pornography,I,54,0,1,0
143,Less than HS,≤34,M,Black,Drug Trafficking,V,63,0,1,0
144,High School,45-54,M,White,Drug Trafficking,V,69,0,0,0
145,High School,55+,M,Black,Drug Trafficking,V,70,0,1,0
146,Less than HS,≤34,M,Black,Firearms,IV,47,1,1,0
147,High School,55+,M,Black,Fraud,V,57,0,0,0
148,Less than HS,55+,M,Hispanic,Firearms,III,62,0,0,0
149,Some College,45-54,M,Black,Child Pornography,IV,62,0,1,0
150,High School,≤34,M,Other,Drug Trafficking,VI,95,0,1,0
151,Some College,55+,M,Black,Fraud,II,61,0,1,0
152,High School,≤34,M,Hispanic,Fraud,V,62,0,0,0
153,High School,35-44,F,Hispanic,Immigration,III,68,0,0,0
154,Undergraduate Degree,≤34,M,Other,Sexual Abuse,I,68,0,1,0
155,Some College,35-44,M,Other,Firearms,VI,61,0,0,0
156,Undergraduate Degree,35-44,F,Black,Sexual Abuse,I,48,0,0,0
157,High School,55+,M,Other,Firearms,II,52,0,0,0
158,High School,≤34,M,Black,Immigration,V,68,0,0,0
159,High School,45-54,M,Hispanic,Firearms,V,57,0,1,0
160,Undergraduate Degree,55+,M,Hispanic,Sexual Abuse,I,34,0,0,0
161,Some College,45-54,M,White,Fraud,I,57,0,1,0
162,High School,45-54,M,Other,Fraud,I,62,0,0,0
163,Graduate Degree,35-44,M,White,Child Pornography,I,50,0,1,0
164,Undergraduate Degree,45-54,M,White,Child Pornography,I,68,0,1,0
165,High School,55+,M,White,Immigration,III,51,0,1,0
166,High School,35-44,M,Black,Fraud,V,78,0,0,0
167,Some College,45-54,M,Black,Drug Trafficking,V,69,0,0,0
168,High School,55+,F,Other,Immigration,II,49,0,1,0
169,Less than HS,35-44,F,Hispanic,Robbery,V,38,0,1,0
170,High School,45-54,M,Black,Fraud,III,54,0,0,0
171,Graduate Degree,55+,M,Other,Drug Trafficking,I,64,0,0,0
172,Less than HS,35-44,M,White,Immigration,III,71,0,0,0
173,High School,≤34,M,Other,Fraud,VI,72,0,0,0
174,High School,55+,F,Other,Drug Trafficking,V,66,0,1,0
175,Less than HS,35-44,M,Hispanic,Robbery,IV,35,0,1,0
176,High School,45-54,M,Hispanic,Drug Trafficking,I,72,0,1,0
177,High School,55+,M,Other,Fraud,I,57,0,0,0
178,Some College,≤34,M,Black,Immigration,I,39,0,1,0
179,High School,≤34,F,Black,Firearms,VI,59,0,1,1
180,Less than HS,55+,M,Other,Robbery,II,60,0,1,0
181,Less than HS,≤34,F,Black,Robbery,IV,34,0,0,0
182,Undergraduate Degree,≤34,M,White,Fraud,I,19,0,1,0
183,Less than HS,35-44,M,Black,Immigration,II,45,0,1,0
184,High School,≤34,F,Other,Drug Trafficking,II,70,1,1,1
185,Undergraduate Degree,≤34,M,Hispanic,Money Laundering,V,54,0,1,0
186,High School,55+,F,Black,Firearms,I,85,0,0,0
187,Less than HS,55+,M,White,Robbery,II,61,1,0,0
188,High School,55+,F,White,Drug Trafficking,V,100,0,1,0
189,High School,≤34,M,Hispanic,Firearms,II,60,0,0,0
190,Less than HS,55+,M,Black,Drug Trafficking,I,43,0,0,0
191,Undergraduate Degree,35-44,M,Hispanic,Tax,I,60,0,1,0
192,Less than HS,35-44,F,Other,Immigration,I,43,0,1,0
193,Some College,45-54,M,Hispanic,Immigration,I,65,0,1,0
194,Some College,55+,M,White,Child Pornography,I,53,0,0,0
195,High School,55+,M,Hispanic,Fraud,VI,92,0,0,0
196,Less than HS,35-44,M,Hispanic,Immigration,IV,94,0,1,0
197,Some College,55+,M,Black,Immigration,VI,43,0,0,0
198,Some College,≤34,M,Hispanic,Child Pornography,III,32,0,0,0
199,High School,45-54,F,Black,Immigration,I,78,0,1,0
200,Less than HS,≤34,M,White,Robbery,I,69,0,0,0
201,High School,≤34,M,Other,Immigration,IV,80,0,1,0
202,Undergraduate Degree,45-54,F,White,Money Laundering,VI,57,0,0,0
203,Less than HS,45-54,M,Black,Fraud,VI,37,0,1,0
204,High School,≤34,M,Other,Firearms,I,24,0,1,0
205,Undergraduate Degree,≤34,M,Black,Tax,I,57,0,1,0
206,Some College,35-44,F,White,Child Pornography,I,39,1,0,0
207,High School,≤34,M,Black,Fraud,I,73,0,0,0
208,Some College,55+,M,White,Immigration,III,75,0,0,0
209,High School,45-54,M,Other,Immigration,I,56,0,1,0
210,Less than HS,45-54,M,White,Drug Trafficking,III,42,0,1,0
211,Some College,35-44,F,Other,Firearms,V,50,0,1,0
212,Some College,55+,M,White,Child Pornography,V,39,0,1,0
213,Undergraduate Degree,35-44,F,Black,Child Pornography,III,49,0,1,0
214,Less than HS,≤34,M,Black,Drug Trafficking,IV,78,0,0,0
215,High School,55+,M,White,Immigration,I,83,0,0,0
216,High School,35-44,M,Hispanic,Immigration,IV,47,0,1,0
217,High School,45-54,M,White,Immigration,IV,83,0,0,0
218,Some College,45-54,M,Hispanic,Immigration,VI,40,0,1,0
219,Undergraduate Degree,45-54,F,Hispanic,Sexual Abuse,I,70,0,1,0
220,Less than HS,45-54,M,Black,Immigration,II,58,0,0,0
221,High School,35-44,M,Other,Immigration,VI,59,0,0,0
222,High School,45-54,M,Black,Drug Trafficking,IV,92,0,1,0
223,Some College,35-44,M,Other,Child Pornography,II,63,0,1,0
224,Some College,≤34,M,Black,Child Pornography,II,44,0,0,0
225,Undergraduate Degree,45-54,F,Hispanic,Child Pornography,I,24,0,1,0
226,Some College,45-54,M,White,Fraud,II,41,0,0,0
227,Some College,55+,M,Black,Drug Trafficking,I,41,0,1,0
228,High School,55+,M,White,Immigration,V,80,0,0,0
229,High School,35-44,M,Hispanic,Immigration,III,82,0,1,0
230,Less than HS,35-44,F,Hispanic,Firearms,VI,80,1,0,0
231,Less than HS,≤34,M,Hispanic,Drug Trafficking,I,47,0,1,0
232,High School,55+,M,Other,Drug Trafficking,V,71,0,0,0
233,Less than HS,≤34,M,Other,Robbery,III,60,0,1,0
234,Less than HS,≤34,M,Hispanic,Immigration,I,54,0,1,0
235,Less than HS,35-44,M,Black,Fraud,II,71,0,1,0
236,Undergraduate Degree,≤34,M,White,Fraud,I,35,0,0,0
237,Less than HS,35-44,F,Black,Fraud,V,63,0,1,0
238,High School,35-44,M,Black,Drug Trafficking,I,73,0,1,0
239,Less than HS,35-44,M,White,Drug Trafficking,III,57,0,0,0
240,High School,≤34,M,Hispanic,Drug Trafficking,III,55,0,0,0
241,Less than HS,≤34,F,White,Immigration,VI,55,0,1,0
242,High School,≤34,F,Hispanic,Firearms,II,56,0,1,0
243,Less than HS,≤34,M,Black,Fraud,I,70,0,0,0
244,Some College,45-54,M,Hispanic,Firearms,III,39,0,1,0
245,High School,35-44,F,White,Fraud,I,63,0,1,0
246,High School,45-54,M,Hispanic,Firearms,II,79,0,0,0
247,Less than HS,55+,M,Hispanic,Fraud,IV,38,0,1,0
248,High School,45-54,F,Hispanic,Drug Trafficking,III,69,0,1,0
249,High School,45-54,M,Black,Immigration,VI,44,0,1,0
250,High School,35-44,F,White,Fraud,IV,45,0,1,0
251,Less than HS,≤34,M,Other,Robbery,V,59,0,0,0
252,High School,35-44,M,Black,Fraud,I,62,0,1,0
253,High School,45-54,F,Hispanic,Drug Trafficking,VI,59,0,1,0
254,High School,≤34,M,Other,Firearms,I,67,0,0,0
255,Some College,45-54,M,Other,Firearms,I,41,0,1,0
256,Some College,35-44,M,Other,Firearms,V,70,0,1,0
257,Less than HS,≤34,M,Black,Immigration,I,68,0,1,0
258,High School,55+,M,Other,Immigration,IV,79,0,0,1
259,Graduate Degree,55+,M,White,Tax,I,49,1,0,0
260,High School,45-54,M,Hispanic,Firearms,I,78,0,0,0
261,High School,45-54,F,Hispanic,Immigration,I,39,1,1,0
262,Some College,55+,F,Black,Immigration,V,53,0,1,0
263,Less than HS,≤34,F,Hispanic,Drug Trafficking,VI,77,0,0,0
264,High School,55+,M,Other,Immigration,III,60,0,0,0
265,High School,45-54,F,Hispanic,Fraud,V,40,0,0,0
266,Some College,45-54,F,White,Fraud,III,49,0,0,0
267,Some College,≤34,M,Other,Drug Trafficking,I,52,0,0,0
268,Undergraduate Degree,45-54,M,Other,Tax,I,28,0,1,0
269,Undergraduate Degree,≤34,M,Black,Sexual Abuse,I,46,0,0,0
270,High School,≤34,M,Hispanic,Immigration,II,69,0,0,0
271,High School,45-54,F,Other,Firearms,II,86,0,1,0
272,High School,55+,M,Other,Drug Trafficking,VI,63,0,1,0
273,Some College,55+,M,Other,Immigration,II,45,0,1,0
274,High School,55+,F,Black,Firearms,I,77,0,0,0
275,Undergraduate Degree,45-54,M,Hispanic,Money Laundering,I,42,0,0,0
276,High School,55+,M,Other,Fraud,I,68,0,0,0
277,Less than HS,≤34,M,White,Fraud,III,64,0,1,0
278,High School,55+,M,White,Immigration,II,49,0,1,0
279,Less than HS,45-54,M,Hispanic,Firearms,V,44,0,0,0
280,Graduate Degree,45-54,M,White,Fraud,I,41,0,1,0
281,Some College,45-54,M,Hispanic,Immigration,V,73,0,1,0
282,High School,55+,M,Hispanic,Drug Trafficking,III,52,0,1,0
283,High School,35-44,M,Black,Fraud,VI,77,0,1,0
284,High School,45-54,F,White,Immigration,I,70,1,0,0
285,Some College,45-54,M,Other,Drug Trafficking,I,26,0,0,0
286,High School,35-44,F,Other,Fraud,VI,74,0,0,0
287,Undergraduate Degree,45-54,M,Black,Money Laundering,I,54,0,1,0
288,Some College,35-44,M,White,Fraud,V,30,0,1,0
289,Less than HS,≤34,M,Hispanic,Immigration,I,46,0,1,0
290,Less than HS,55+,M,Black,Drug Trafficking,II,33,0,1,0
291,Less than HS,≤34,M,Hispanic,Fraud,I,25,0,1,0
292,Undergraduate Degree,55+,F,Hispanic,Child Pornography,I,57,0,0,0
293,High School,≤34,M,White,Immigration,IV,40,0,1,0
294,Undergraduate Degree,35-44,M,White,Money Laundering,I,32,0,1,0
295,High School,≤34,M,Other,Fraud,I,47,0,0,0
296,Less than HS,35-44,F,Hispanic,Fraud,III,75,0,1,0
297,Less than HS,≤34,M,Black,Fraud,II,45,0,0,0
298,Less than HS,≤34,M,Hispanic,Robbery,IV,57,0,0,0
299,High School,35-44,M,White,Drug Trafficking,I,58,0,0,0
300,Less than HS,35-44,M,White,Immigration,III,49,0,1,0
301,High School,45-54,M,Black,Drug Trafficking,I,70,0,1,0
302,Some College,45-54,M,White,Fraud,IV,57,0,1,0
303,Some College,≤34,M,Hispanic,Drug Trafficking,I,30,0,0,0
304,Some College,45-54,M,Other,Drug Trafficking,I,31,0,1,0
305,Undergraduate Degree,≤34,F,Other,Child Pornography,I,21,0,0,0
306,Undergraduate Degree,45-54,M,White,Child Pornography,I,38,0,0,0
307,Undergraduate Degree,55+,F,Black,Fraud,I,27,0,0,0
308,Less than HS,35-44,M,Hispanic,Immigration,V,39,0,1,0
309,High School,45-54,M,Other,Drug Trafficking,VI,58,1,0,0
310,High School,45-54,M,Hispanic,Firearms,I,91,0,0,0
311,Some College,45-54,F,Hispanic,Immigration,I,35,0,0,0
312,High School,≤34,F,Black,Drug Trafficking,II,53,0,0,0
313,High School,55+,F,Hispanic,Firearms,IV,54,0,0,0
314,Less than HS,≤34,M,Black,Robbery,V,39,0,1,0
315,High School,35-44,M,Black,Drug Trafficking,II,43,1,1,0
316,High School,≤34,M,Black,Fraud,IV,70,0,0,0
317,Less than HS,35-44,M,Hispanic,Drug Trafficking,II,65,0,0,0
318,High School,35-44,F,Black,Firearms,I,54,0,0,0
319,Less than HS,≤34,M,White,Robbery,II,73,0,0,0
320,Less than HS,45-54,F,Black,Fraud,I,70,0,1,0
321,Less than HS,≤34,M,Black,Firearms,IV,27,0,1,0
322,Less than HS,55+,M,Hispanic,Drug Trafficking,IV,54,0,1,0
323,Undergraduate Degree,≤34,F,Hispanic,Sexual Abuse,I,48,0,1,0
324,Less than HS,35-44,M,Black,Immigration,VI,68,0,1,0
325,High School,55+,M,White,Fraud,III,79,0,1,0
326,Undergraduate Degree,35-44,M,White,Tax,I,41,0,1,0
327,High School,35-44,M,White,Drug Trafficking,I,75,0,0,0
328,High School,35-44,M,Black,Fraud,I,76,0,0,0
329,Some College,45-54,F,Black,Immigration,II,42,0,1,0
330,High School,45-54,F,Black,Immigration,I,36,0,1,1
331,Some College,35-44,M,Black,Drug Trafficking,I,73,0,1,0
332,High School,35-44,M,Other,Fraud,I,59,1,1,0
333,Less than HS,55+,M,Hispanic,Drug Trafficking,IV,42,0,1,0
334,High School,≤34,M,Other,Fraud,I,93,0,1,0
335,Less than HS,35-44,M,Black,Drug Trafficking,III,14,1,0,0
336,High School,45-54,M,Hispanic,Immigration,II,71,0,0,0
337,High School,35-44,M,Hispanic,Immigration,I,64,0,0,0
338,High School,≤34,M,White,Immigration,I,89,0,1,0
339,High School,45-54,M,Other,Fraud,I,58,0,0,0
340,Graduate Degree,45-54,M,White,Tax,I,45,0,1,1
341,High School,55+,F,Hispanic,Firearms,II,89,0,1,0
342,High School,≤34,M,White,Immigration,III,47,0,1,0
343,Some College,45-54,F,White,Child Pornography,I,42,0,1,0
344,Some College,≤34,M,Black,Child Pornography,I,39,0,1,0
345,High School,55+,M,Black,Firearms,III,47,1,0,0
346,Some College,35-44,M,White,Drug Trafficking,I,50,0,0,0
347,Less than HS,≤34,M,Black,Robbery,III,70,0,0,0
348,Less than HS,35-44,M,Black,Drug Trafficking,VI,63,0,1,0
349,Less than HS,35-44,M,Hispanic,Immigration,VI,83,0,0,0
350,High School,35-44,F,Other,Immigration,I,57,0,0,0
351,Graduate Degree,35-44,F,White,Fraud,IV,60,0,1,0
352,Less than HS,≤34,M,Hispanic,Robbery,I,46,0,0,0
353,High School,≤34,M,Hispanic,Drug Trafficking,I,88,0,1,0
354,High School,45-54,M,Black,Firearms,I,79,0,1,0
355,Undergraduate Degree,55+,M,Black,Tax,IV,58,0,0,0
356,Less than HS,35-44,M,White,Immigration,V,49,0,1,0
357,High School,≤34,M,Black,Firearms,I,75,0,0,0
358,Undergraduate Degree,45-54,M,Black,Money Laundering,III,63,0,1,0
359,High School,55+,F,Hispanic,Firearms,VI,55,0,0,0
360,High School,45-54,M,Hispanic,Fraud,IV,65,0,1,0
361,Graduate Degree,≤34,M,Black,Fraud,I,34,0,0,0
362,Undergraduate Degree,45-54,M,Black,Drug Trafficking,I,41,0,1,0
363,Undergraduate Degree,55+,F,White,Tax,II,43,0,0,0
364,High School,35-44,F,Black,Fraud,I,75,0,1,0
365,Less than HS,45-54,M,White,Firearms,IV,75,0,0,0
366,Less than HS,35-44,M,Black,Drug Trafficking,III,59,0,1,0
367,High School,≤34,M,Black,Fraud,II,61,0,0,0
368,Undergraduate Degree,55+,F,White,Drug Trafficking,I,56,0,1,0
369,High School,≤34,M,Black,Immigration,I,91,0,1,0
370,Less than HS,≤34,M,Black,Robbery,II,50,0,1,0
371,Some College,≤34,M,Other,Firearms,I,41,0,0,0
372,Less than HS,≤34,M,Black,Immigration,IV,67,0,0,0
373,High School,≤34,M,White,Firearms,V,76,0,1,0
374,High School,≤34,M,Other,Firearms,IV,86,0,0,0
375,High School,≤34,M,Hispanic,Firearms,II,73,0,0,0
376,High School,35-44,M,Hispanic,Drug Trafficking,V,70,0,1,0
377,Less than HS,35-44,M,Hispanic,Drug Trafficking,II,64,0,1,0
378,Some College,≤34,M,Other,Firearms,I,61,0,0,0
379,Some College,45-54,M,White,Fraud,VI,28,0,1,0
380,Less than HS,≤34,M,Black,Firearms,IV,39,0,0,0
381,Less than HS,≤34,M,Hispanic,Robbery,III,51,0,0,0
382,High School,55+,M,Black,Immigration,I,77,1,1,0
383,High School,55+,M,Other,Immigration,III,51,0,1,0
384,Less than HS,≤34,M,Hispanic,Firearms,I,59,0,1,0
385,Some College,45-54,M,White,Child Pornography,I,63,0,0,0
386,High School,≤34,M,Black,Firearms,VI,64,0,0,0
387,Some College,≤34,F,White,Fraud,I,29,0,1,0
388,Undergraduate Degree,55+,M,Hispanic,Tax,I,73,0,0,0
389,High School,55+,M,White,Immigration,I,75,0,1,0
390,Less than HS,55+,M,White,Firearms,V,62,0,0,0
391,Undergraduate Degree,≤34,M,Hispanic,Sexual Abuse,I,64,1,0,0
392,Less than HS,≤34,F,Black,Fraud,II,49,0,0,0
393,Some College,35-44,M,White,Drug Trafficking,I,27,0,1,0
394,Some College,35-44,M,White,Drug Trafficking,I,7,0,1,0
395,Less than HS,≤34,M,Hispanic,Firearms,IV,57,0,0,0
396,High School,45-54,M,Hispanic,Fraud,I,68,0,0,0
397,High School,35-44,M,Other,Immigration,II,91,0,1,0
398,Less than HS,≤34,M,White,Robbery,V,49,0,0,0
399,High School,45-54,M,White,Fraud,I,71,0,1,0
400,High School,≤34,M,Hispanic,Immigration,VI,78,0,1,0
401,Less than HS,≤34,M,Black,Firearms,III,25,0,1,0
402,Less than HS,≤34,M,Other,Robbery,I,57,0,0,0
403,High School,≤34,M,Other,Fraud,I,92,0,1,0
404,Less than HS,35-44,M,Black,Drug Trafficking,I,71,0,1,0
405,Undergraduate Degree,≤34,M,Black,Fraud,I,37,0,1,0
406,Undergraduate Degree,45-54,F,Other,Money Laundering,V,29,1,0,0
407,High School,45-54,M,White,Fraud,II,57,1,0,0
408,Undergraduate Degree,35-44,F,Hispanic,Child Pornography,I,59,0,1,0
409,Less than HS,≤34,M,White,Fraud,I,49,0,1,0
410,High School,≤34,F,Other,Firearms,VI,64,0,0,0
411,High School,45-54,M,Hispanic,Drug Trafficking,VI,58,0,1,0
412,High School,55+,F,Black,Immigration,IV,74,0,1,0
413,Less than HS,45-54,M,Black,Immigration,V,69,0,0,0
414,Less than HS,35-44,M,Hispanic,Fraud,VI,62,0,1,0
415,Undergraduate Degree,35-44,M,Hispanic,Fraud,I,38,0,0,0
416,High School,55+,M,White,Fraud,II,90,0,1,0
417,High School,55+,F,White,Fraud,II,85,0,0,0
418,Less than HS,≤34,F,Other,Immigration,III,64,0,0,0
419,Less than HS,≤34,M,White,Fraud,III,64,0,1,0
420,Less than HS,35-44,M,White,Drug Trafficking,III,35,0,1,0
421,Less than HS,35-44,M,Hispanic,Robbery,IV,35,0,0,0
422,Less than HS,45-54,M,Hispanic,Fraud,I,57,0,0,0
423,Undergraduate Degree,55+,F,Black,Tax,VI,45,0,0,0
424,High School,55+,M,Other,Fraud,VI,70,0,0,0
425,Some College,55+,M,Hispanic,Immigration,I,38,0,0,0
